,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
390,Ismaila,Jome,Portland Timbers,D,"$81,375.00","$81,375.00",Ismaila Jome
391,Derrick,Jones,Houston Dynamo,M,"$160,000.00","$182,969.00",Derrick Jones
392,Joevin,Jones,Inter Miami,D-M,"$180,000.00","$278,100.00",Joevin Jones
393,DeJuan,Jones,New England Revolution,D-M,"$95,000.00","$99,938.00",DeJuan Jones
394,Mathias,Jorgensen,New York Red Bulls,F,"$325,000.00","$356,250.00",Mathias Jorgensen
395,Dejan,Joveljic,LA Galaxy,F,"$612,500.00","$612,500.00",Dejan Joveljic
396,Thomas,Judge,Nashville SC,D,"$63,547.00","$63,547.00",Thomas Judge
397,Anderson,Julio,Real Salt Lake,F-M,"$402,000.00","$485,875.00",Anderson Julio
398,Florian,Jungwirth,Vancouver Whitecaps,D-M,"$525,000.00","$567,667.00",Florian Jungwirth
399,Sam,Junqua,Houston Dynamo,D,"$81,375.00","$81,375.00",Sam Junqua
400,Brent,Kallman,Minnesota United,D,"$150,000.00","$158,125.00",Brent Kallman
401,Ola,Kamara,DC United,F,"$400,000.00","$420,000.00",Ola Kamara
402,Alec,Kann,Atlanta United,GK,"$115,000.00","$115,000.00",Alec Kann
403,Johan,Kappelhof,Chicago Fire,D-M,"$462,500.00","$490,333.00",Johan Kappelhof
404,Wilfrid,Kaptoum,New England Revolution,M,"$500,000.00","$557,500.00",Wilfrid Kaptoum
405,Mark-Anthony,Kaye,Colorado Rapids,M,"$235,625.00","$247,188.00",Mark-Anthony Kaye
406,Aboubacar,Keita,Columbus Crew,D,"$110,000.00","$110,000.00",Aboubacar Keita
407,Jeremy,Kelly,Colorado Rapids,D,"$85,444.00","$85,444.00",Jeremy Kelly
408,Jon,Kempin,DC United,GK,"$85,444.00","$85,444.00",Jon Kempin
409,Henry,Kessler,New England Revolution,D,"$95,000.00","$115,000.00",Henry Kessler
410,Jasser,Khmiri,Vancouver Whitecaps,D,"$240,000.00","$240,000.00",Jasser Khmiri
411,Nabilai,Kibunguchy,Minnesota United,F,"$63,547.00","$63,547.00",Nabilai Kibunguchy
412,Benjamin,Kikanovic,San Jose Earthquakes,F,"$63,547.00","$69,322.00",Benjamin Kikanovic
413,Gadi,Kinda,Sporting Kansas City,M,"$850,000.00","$918,000.00",Gadi Kinda
414,Perry,Kitchen,Columbus Crew,M,"$275,000.00","$301,667.00",Perry Kitchen
415,Mustafa,Kizza,Montreal,D,"$150,000.00","$166,800.00",Mustafa Kizza
416,Edward,Kizza,New England Revolution,F,"$63,547.00","$63,547.00",Edward Kizza
417,Freddy,Kleeman,Austin FC,D,"$63,547.00","$63,547.00",Freddy Kleeman
418,Patryk,Klimala,New York Red Bulls,F,"$1,000,000.00","$1,135,000.00",Patryk Klimala
419,Jonathan,Klinsmann,LA Galaxy,GK,"$81,375.00","$81,375.00",Jonathan Klinsmann
420,Sacha,Kljestan,LA Galaxy,M,"$247,350.00","$247,350.00",Sacha Kljestan
421,Brad,Knighton,New England Revolution,GK,"$140,000.00","$146,750.00",Brad Knighton
422,Zan,Kolmanic,Austin FC,D,"$225,000.00","$225,000.00",Zan Kolmanic
423,Ismael,Koné,Montreal,M,"$63,547.00","$66,172.00",Ismael Koné
424,Kai,Koreniuk,LA Galaxy,M-F,"$85,444.00","$85,444.00",Kai Koreniuk
425,Damir,Kreilach,Real Salt Lake,M,"$1,200,000.00","$1,350,000.00",Damir Kreilach
426,Kenneth,Kronholm,Chicago Fire,GK,"$569,000.00","$632,000.00",Kenneth Kronholm
427,Yuya,Kubo,FC Cincinnati,M,"$1,091,000.00","$1,206,750.00",Yuya Kubo
428,Matt,LaGrassa,Nashville SC,M,"$85,444.00","$85,444.00",Matt LaGrassa
429,Matt,Lampson,Major League Soccer,GK,"$85,444.00","$85,444.00",Matt Lampson
430,Lassi,Lappalainen,Montreal,M,"$383,657.00","$383,657.00",Lassi Lappalainen
431,Oliver,Larraz,Colorado Rapids,M,"$63,547.00","$63,547.00",Oliver Larraz
432,Richie,Laryea,Toronto FC,M,"$200,000.00","$226,953.00",Richie Laryea
433,Ariel,Lassiter,Houston Dynamo,F,"$210,000.00","$230,280.00",Ariel Lassiter
434,Vukashin,Latinovich,New York City FC,D,"$63,547.00","$63,547.00",Vukashin Latinovich
435,Kemar,Lawrence,Toronto FC,D,"$258,000.00","$340,500.00",Kemar Lawrence
436,Randall,Leal,Nashville SC,F-M,"$420,000.00","$477,750.00",Randall Leal
437,Kelvin,Leerdam,Inter Miami,D,"$180,000.00","$297,625.00",Kelvin Leerdam
438,Nico,Lemoine,Houston Dynamo,F,"$66,724.00","$66,724.00",Nico Lemoine
439,Brooks,Lennon,Atlanta United,D,"$375,000.00","$375,000.00",Brooks Lennon
440,Antonio,Leone,LAFC,D-M,"$81,375.00","$83,375.00",Antonio Leone
441,Jonathan,Lewis,Colorado Rapids,F,"$410,000.00","$435,000.00",Jonathan Lewis
442,Luca,Lewis,New York Red Bulls,GK,"$63,547.00","$67,147.00",Luca Lewis
443,Danny,Leyva,Seattle Sounders FC,M,"$81,375.00","$100,798.00",Danny Leyva
444,Grant,Lillard,Columbus Crew,D,"$125,000.00","$127,500.00",Grant Lillard
445,Nick,Lima,Austin FC,D,"$350,000.00","$350,000.00",Nick Lima
446,Artur,Lima,Columbus Crew,M,"$480,000.00","$531,633.00",Artur Lima
447,Jaylin,Lindsey,Sporting Kansas City,D,"$91,547.00","$94,547.00",Jaylin Lindsey
448,Sebastian,Lletget,LA Galaxy,M,"$800,000.00","$923,750.00",Sebastian Lletget
449,Ake,Loba,Nashville SC,F,"$1,077,000.00","$1,318,475.00",Ake Loba
450,Robin,Lod,Minnesota United,M-F,"$849,996.00","$952,496.00",Robin Lod
451,Nicolas,Lodeiro,Seattle Sounders FC,M,"$2,120,000.00","$2,736,667.00",Nicolas Lodeiro
452,David,Loera,Orlando City SC,M,"$100,000.00","$102,500.00",David Loera
453,Aaron,Long,New York Red Bulls,D,"$895,000.00","$925,000.00",Aaron Long
454,Eric,Lopez,LA Galaxy,GK,"$81,375.00","$81,375.00",Eric Lopez
455,Marcos,Lopez,San Jose Earthquakes,D,"$330,000.00","$370,250.00",Marcos Lopez
456,Javier,Lopez Ramirez,San Jose Earthquakes,F,"$860,000.00","$860,000.00",Javier Lopez Ramirez
457,Erik,Lopez Samaniego,Atlanta United,F,"$340,000.00","$508,300.00",Erik Lopez Samaniego
458,Marvin,Loría,Portland Timbers,M,"$81,375.00","$81,375.00",Marvin Loría
459,Daniel,Lovitz,Nashville SC,D,"$385,000.00","$415,556.00",Daniel Lovitz
460,Everton,Luiz,Real Salt Lake,M,"$1,160,000.00","$1,260,000.00",Everton Luiz
461,Ben,Lundgaard,Atlanta United,GK,"$81,375.00","$81,375.00",Ben Lundgaard
462,Adam,Lundkvist,Houston Dynamo,D,"$325,000.00","$372,500.00",Adam Lundkvist
463,Ben,Lundt,FC Cincinnati,GK,"$85,444.00","$87,019.00",Ben Lundt
464,Jhegson Sebastián,Méndez,Orlando City SC,M,"$550,000.00","$586,750.00",Jhegson Sebastián Méndez
465,Larrys,Mabiala,Portland Timbers,D,"$450,000.00","$450,000.00",Larrys Mabiala
466,Emanuel,Maciel,Montreal,M,"$118,182.00","$129,811.00",Emanuel Maciel
467,Lucas,Maciel Felix,New England Revolution,M,"$63,547.00","$63,547.00",Lucas Maciel Felix
468,Zac,MacMath,Real Salt Lake,GK,"$200,000.00","$200,000.00",Zac MacMath
469,Christian,Mafla,New England Revolution,D-M,"$400,000.00","$495,000.00",Christian Mafla
470,Talles,Magno,New York City FC,F,"$950,000.00","$1,198,000.00",Talles Magno
471,Jack,Maher,Nashville SC,D,"$115,000.00","$149,000.00",Jack Maher
472,Christian,Makoun,Inter Miami,D-M,"$175,000.00","$175,000.00",Christian Makoun
473,Kekuta,Manneh,Austin FC,F,"$81,375.00","$81,375.00",Kekuta Manneh
474,JT,Marcinkowski,San Jose Earthquakes,GK,"$165,000.00","$177,000.00",JT Marcinkowski
475,Anthony,"Marcucci, Jr.",New York Red Bulls,GK,"$63,547.00","$63,547.00","Anthony Marcucci, Jr."
