,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
78,George Bello\aca0a525,us USA,DF,Atlanta Utd,19,2002,27.1,1,29,9,31,1.07,0.33,0.03,0.11,16.3,0,0,0,3.2,3.2,0.11,-2.2,-2.2,Matches
79,Joe Bendik\c3e50b67,us USA,GK,Philadelphia,31,1989,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
80,Nicolas Benezet\30395d3b,fr FRA,FWMF,Colorado Rapids,29,1991,3.2,0,5,1,20,1.54,0.31,0,0,17.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
81,Nicolas Benezet\30395d3b,fr FRA,FWMF,Seattle,29,1991,7.4,3,14,9,64.3,1.9,1.22,0.21,0.33,13.9,0,0,0,3,3,0.22,0,0,Matches
82,Sebastian Berhalter\f33ee427,us USA,MF,Austin FC,19,2001,7.3,0,3,0,0,0.41,0,0,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
83,Robert Berić\9001138b,si SVN,FW,Chicago Fire,29,1991,24.4,8,79,25,31.6,3.24,1.02,0.1,0.32,12.2,0,0,0,11.1,11.1,0.14,-3.1,-3.1,Matches
84,Miguel Berry\a5532e80,es ESP,FW,Columbus Crew,23,1997,9.4,8,26,17,65.4,2.77,1.81,0.31,0.47,10.5,0,0,0,5.1,5.1,0.2,+2.9,+2.9,Matches
85,Matt Besler\8393a973,us USA,DF,Austin FC,33,1987,19.4,0,3,0,0,0.15,0,0,,5.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
86,Nick Besler\cc9fa1a8,us USA,MF,Real Salt Lake,27,1993,18.3,0,8,2,25,0.44,0.11,0,0,11.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
87,Janio Bikel\7d944245,pt POR,MF,Vancouver,25,1995,25.6,1,6,2,33.3,0.23,0.08,0.17,0.5,16.9,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
88,Steve Birnbaum\26637ac8,us USA,DF,D.C. United,30,1991,18,2,10,5,50,0.56,0.28,0.2,0.4,9,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches
89,José Bizama\fbcb25ab,cl CHI,DF,Houston Dynamo,26,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
90,Tyler Blackett\a68a5466,eng ENG,DF,FC Cincinnati,26,1994,8.6,1,4,2,50,0.46,0.23,0.25,0.5,8,0,0,0,0.4,0.4,0.1,+0.6,+0.6,Matches
91,Jamal Blackman\dd26b605,eng ENG,GK,Los Angeles FC,27,1993,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
92,Tristan Blackmon\7f35d14e,us USA,DF,Los Angeles FC,24,1996,14.4,1,7,1,14.3,0.49,0.07,0.14,1,11,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
93,Andre Blake\b3b21a11,jm JAM,GK,Philadelphia,30,1990,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
94,Sebastián Blanco\4ddd0834,ar ARG,MFFW,Portland Timbers,32,1988,13.1,7,43,19,44.2,3.28,1.45,0.16,0.37,17.7,0,0,0,5.6,5.6,0.13,+1.4,+1.4,Matches
95,Latif Blessing\5153d32e,gh GHA,MFDF,Los Angeles FC,24,1996,24.5,2,24,9,37.5,0.98,0.37,0.08,0.22,16.1,0,0,0,2.8,2.8,0.12,-0.8,-0.8,Matches
96,Emmanuel Boateng\25f77a5f,gh GHA,MFFW,New England,27,1994,4.2,2,5,2,40,1.18,0.47,0.4,1,13.7,0,0,0,0.5,0.5,0.1,+1.5,+1.5,Matches
97,Blake Bodily\612a0951,us USA,FWDF,Portland Timbers,23,1998,2.3,0,5,2,40,2.2,0.88,0,0,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
98,Jonathan Bond\c3a86eea,eng ENG,GK,LA Galaxy,27,1993,31,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
99,Pablo Bonilla\da23cdc3,ve VEN,DF,Portland Timbers,21,1999,15.1,0,8,1,12.5,0.53,0.07,0,0,21,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
100,Alex Bono\aa28a396,us USA,GK,Toronto FC,26,1994,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
101,Jonathan Bornstein\79a6c95f,us USA,DF,Chicago Fire,36,1984,24.7,0,5,1,20,0.2,0.04,0,0,13.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
102,Gustavo Bou\3dfcc735,ar ARG,FW,New England,30,1990,25.8,15,89,33,37.1,3.45,1.28,0.16,0.42,18.9,3,1,2,10.7,9,0.1,+4.3,+5.0,Matches
